species_id	species_code	species_name	binding_affinity
1	human	人类	183.0100
1	human	人类	156.0000
1	human	人类	156.0000
1	human	人类	156.0000
1	human	人类	236.0000
1	human	人类	156.0000
1	human	人类	156.0000
1	human	人类	156.0000
1	human	人类	156.0000
1	human	人类	303.9800
1	human	人类	184.0000
1	human	人类	184.0100
1	human	人类	187.0100
1	human	人类	198.0000
1	human	人类	198.9900
1	human	人类	219.0000
1	human	人类	195.0000
1	human	人类	211.0100
1	human	人类	211.0100
1	human	人类	240.0100
1	human	人类	199.0000
1	human	人类	181.0100
1	human	人类	182.9900
1	human	人类	243.0100
1	human	人类	175.9900
1	human	人类	180.0100
1	human	人类	246.9800
1	human	人类	190.0000
1	human	人类	201.9900
1	human	人类	205.9900
1	human	人类	172.0100
1	human	人类	201.9900
1	human	人类	179.9900
1	human	人类	198.0100
1	human	人类	165.0000
1	human	人类	230.0100
1	human	人类	193.0100
1	human	人类	205.9900
1	human	人类	159.0100
1	human	人类	176.9900
1	human	人类	206.9900
1	human	人类	195.9900
1	human	人类	228.9800
1	human	人类	196.9800
1	human	人类	211.9900
1	human	人类	186.0100
1	human	人类	245.0200
1	human	人类	173.0100
1	human	人类	155.0100
1	human	人类	160.0100
1	human	人类	199.0100
1	human	人类	197.0000
1	human	人类	158.0100
1	human	人类	155.0000
1	human	人类	173.0000
1	human	人类	155.0000
1	human	人类	155.0000
1	human	人类	155.9900
1	human	人类	168.9900
1	human	人类	230.0100
1	human	人类	205.9900
1	human	人类	201.0000
1	human	人类	203.0000
1	human	人类	158.0000
1	human	人类	179.9900
1	human	人类	166.0000
1	human	人类	169.0000
1	human	人类	181.0100
1	human	人类	206.9900
1	human	人类	202.0100
1	human	人类	183.0000
1	human	人类	171.0100
1	human	人类	168.9900
1	human	人类	194.9800
1	human	人类	163.0100
1	human	人类	168.9900
1	human	人类	200.0000
1	human	人类	173.9900
1	human	人类	241.9900
1	human	人类	183.0000
1	human	人类	210.9900
1	human	人类	196.0000
1	human	人类	189.0000
1	human	人类	186.9900
1	human	人类	201.9900
1	human	人类	202.0200
1	human	人类	181.9900
1	human	人类	161.0000
1	human	人类	218.0100
1	human	人类	244.0100
1	human	人类	185.9900
1	human	人类	202.9900
1	human	人类	218.0100
1	human	人类	167.9900
1	human	人类	200.0000
1	human	人类	181.0000
1	human	人类	208.0100
1	human	人类	202.0200
1	human	人类	184.0100
1	human	人类	196.9900
1	human	人类	200.0100
1	human	人类	186.0100
1	human	人类	157.0100
1	human	人类	154.0100
1	human	人类	154.0100
1	human	人类	154.0100
1	human	人类	155.0000
1	human	人类	154.0000
1	human	人类	207.0000
1	human	人类	154.0000
1	human	人类	158.0000
1	human	人类	165.9900
1	human	人类	168.0000
1	human	人类	155.0000
1	human	人类	156.9900
1	human	人类	153.9900
1	human	人类	153.9900
1	human	人类	178.9900
1	human	人类	197.9900
1	human	人类	189.0000
1	human	人类	187.9900
1	human	人类	216.0100
1	human	人类	188.0000
1	human	人类	201.0200
1	human	人类	186.0000
1	human	人类	206.0000
1	human	人类	206.0000
1	human	人类	165.0100
1	human	人类	182.0100
1	human	人类	181.0100
